CourseLevel,CourseName,Sex Female,Sex Male,First Gen? Yes,First Gen? No/Unreported,HUG? Yes,HUG? No,Race/Ethnicity American Indian or Alaska Native,Race/Ethnicity Asian,Race/Ethnicity Black or African American,Race/Ethnicity Hispanic or Latino,Race/Ethnicity Non-Resident Alien,Race/Ethnicity Race/Ethnicity Unknown,Race/Ethnicity Two or More Races,Race/Ethnicity White,Race/Ethnicity Total Enrollment
Introductory,CSCI0020 S01,43.41,56.59,9.27,90.73,18.54,81.46,0.49,7.32,7.32,10.73,14.15,3.9,8.78,47.32,205
Introductory,CSCI0081 S01,0.0,100.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,2
Introductory,CSCI0111 S01,36.76,63.24,9.56,90.44,13.97,86.03,0.0,19.85,2.94,11.03,11.76,2.94,10.29,41.18,136
Introductory,CSCI0111 S02,50.0,50.0,12.5,87.5,12.5,87.5,6.25,0.0,0.0,6.25,31.25,6.25,12.5,37.5,16
Introductory,CSCI0112 S01,52.0,48.0,36.0,64.0,28.0,72.0,0.0,16.0,8.0,20.0,20.0,0.0,4.0,32.0,25
Introductory,CSCI0150 S01,44.13,55.87,15.4,84.6,18.28,81.72,0.26,32.64,5.74,12.27,19.84,3.39,6.53,19.32,383
Introductory,CSCI0170 S01,31.93,68.07,10.08,89.92,14.29,85.71,0.0,45.38,6.72,7.56,10.92,2.52,5.04,21.85,119
Introductory,CSCI0190 S01,12.73,87.27,7.27,92.73,5.45,94.55,0.0,41.82,0.0,5.45,18.18,3.64,7.27,23.64,55
Introductory,CSCI0200 S01,37.29,62.71,16.95,83.05,10.17,89.83,0.0,28.81,3.39,6.78,27.12,1.69,10.17,22.03,59
Introductory,CSCI0200 S02,52.17,47.83,21.74,78.26,13.04,86.96,0.0,17.39,4.35,8.7,21.74,8.7,8.7,30.43,23
Intermediate,CSCI0320 S02,75.0,25.0,0.0,100.0,25.0,75.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0,4
Intermediate,CSCI1010 S01,26.39,73.61,5.56,94.44,5.56,94.44,0.0,27.78,1.39,4.17,22.22,0.0,5.56,38.89,72
Intermediate,CSCI0320 S01,41.56,58.44,11.69,88.31,19.48,80.52,0.0,33.12,9.74,9.74,19.48,2.6,9.09,16.23,154
Intermediate,CSCI0330 S01,31.61,68.39,20.11,79.89,18.97,81.03,0.0,31.03,7.47,11.49,16.09,2.3,7.47,24.14,174
Intermediate,CSCI0330 S02,47.06,52.94,11.76,88.24,17.65,82.35,0.0,35.29,11.76,5.88,11.76,0.0,11.76,23.53,17
Advanced,CSCI1805 S02,41.67,58.33,8.33,91.67,16.67,83.33,0.0,33.33,8.33,8.33,0.0,0.0,0.0,50.0,12
Advanced,CSCI1810 S01,46.0,54.0,8.0,92.0,10.0,90.0,0.0,46.0,6.0,4.0,20.0,2.0,4.0,18.0,50
Advanced,CSCI1680 S01,19.81,80.19,6.6,93.4,12.26,87.74,0.94,27.36,2.83,8.49,37.74,4.72,1.89,16.04,106
Advanced,CSCI1680 S02,42.86,57.14,14.29,85.71,23.81,76.19,0.0,42.86,9.52,14.29,23.81,4.76,0.0,4.76,21
Advanced,CSCI1730 S01,38.6,61.4,17.54,82.46,15.79,84.21,0.0,19.3,0.0,15.79,28.07,1.75,3.51,31.58,57
Advanced,CSCI1760 S01,21.43,78.57,0.0,100.0,7.14,92.86,0.0,16.67,2.38,4.76,50.0,4.76,0.0,21.43,42
Advanced,CSCI1600 S01,30.19,69.81,11.32,88.68,18.87,81.13,0.0,22.64,7.55,11.32,16.98,0.0,13.21,28.3,53
Advanced,CSCI1860 S01,54.55,45.45,9.09,90.91,13.64,86.36,0.0,13.64,0.0,13.64,27.27,9.09,18.18,18.18,22
Advanced,CSCI1952C S01,15.38,84.62,0.0,100.0,0.0,100.0,0.0,15.38,0.0,0.0,53.85,0.0,0.0,30.77,13
Advanced,CSCI1870 S02,46.15,53.85,0.0,100.0,23.08,76.92,0.0,7.69,15.38,7.69,0.0,7.69,15.38,46.15,13
Advanced,CSCI1950N S01,47.06,52.94,11.76,88.24,23.53,76.47,0.0,23.53,5.88,17.65,17.65,0.0,0.0,35.29,17
Advanced,CSCI1950T S01,75.0,25.0,0.0,100.0,12.5,87.5,0.0,37.5,0.0,12.5,0.0,0.0,0.0,50.0,8
Advanced,CSCI1951C S01,60.0,40.0,6.67,93.33,6.67,93.33,0.0,26.67,0.0,6.67,46.67,0.0,0.0,20.0,15
Advanced,CSCI1951R S01,33.33,66.67,2.56,97.44,2.56,97.44,0.0,23.08,0.0,2.56,43.59,2.56,10.26,17.95,39
Advanced,CSCI1650 S01,30.21,69.79,9.9,90.1,11.46,88.54,0.0,25.0,4.17,7.29,32.29,1.56,3.12,26.56,192
Advanced,CSCI1870 S01,63.41,36.59,12.2,87.8,24.39,75.61,0.0,19.51,4.88,19.51,17.07,2.44,7.32,29.27,41
Advanced,CSCI1951X S01,21.74,78.26,8.7,91.3,0.0,100.0,0.0,39.13,0.0,0.0,21.74,8.7,4.35,26.09,23
Advanced,CSCI1805 S01,41.09,58.91,13.95,86.05,22.48,77.52,0.0,27.13,9.3,13.18,13.95,1.55,4.65,30.23,129
Advanced,CSCI1951V S01,50.0,50.0,25.0,75.0,17.5,82.5,0.0,27.5,5.0,12.5,32.5,0.0,2.5,20.0,40
Advanced,CSCI1450 S01,23.53,76.47,11.76,88.24,11.76,88.24,0.0,20.59,0.0,11.76,50.0,2.94,0.0,14.71,34
Advanced,CSCI1270 S01,24.69,75.31,6.17,93.83,6.17,93.83,0.0,35.8,3.7,2.47,43.21,1.23,2.47,11.11,81
Advanced,CSCI1270 S02,50.0,50.0,0.0,100.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,2
Advanced,CSCI1230 S01,31.31,68.69,8.08,91.92,10.1,89.9,0.0,31.31,4.04,6.06,26.26,0.0,10.1,22.22,99
Advanced,CSCI1230 S02,17.65,82.35,5.88,94.12,17.65,82.35,0.0,29.41,5.88,11.76,41.18,5.88,0.0,5.88,17
Advanced,CSCI1234 S01,0.0,100.0,0.0,100.0,0.0,100.0,0.0,40.0,0.0,0.0,40.0,0.0,20.0,0.0,5
Advanced,CSCI1260 S01,20.37,79.63,5.56,94.44,5.56,94.44,0.0,29.63,1.85,3.7,31.48,3.7,1.85,27.78,54
Advanced,CSCI1410 S02,33.64,66.36,11.21,88.79,11.21,88.79,0.0,36.45,1.87,9.35,15.89,0.93,7.48,28.04,107
Advanced,CSCI1570 S01,20.63,79.37,7.94,92.06,11.11,88.89,0.0,31.75,4.76,6.35,28.57,3.17,6.35,19.05,63
Advanced,CSCI1290 S01,43.9,56.1,7.32,92.68,9.76,90.24,0.0,24.39,0.0,9.76,39.02,0.0,9.76,17.07,41
Advanced,CSCI1260 S02,44.44,55.56,0.0,100.0,11.11,88.89,0.0,66.67,11.11,0.0,0.0,0.0,22.22,0.0,9
Advanced,CSCI1330 S02,66.67,33.33,0.0,100.0,33.33,66.67,0.0,0.0,16.67,16.67,50.0,0.0,0.0,16.67,6
Advanced,CSCI1340 S01,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
Advanced,CSCI1340 S02,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1
Advanced,CSCI1360 S01,40.0,60.0,16.0,84.0,16.0,84.0,0.0,28.0,12.0,4.0,28.0,4.0,4.0,20.0,25
Advanced,CSCI1360 S02,71.43,28.57,0.0,100.0,42.86,57.14,0.0,14.29,28.57,14.29,14.29,14.29,14.29,0.0,7
Advanced,CSCI1510 S01,22.22,77.78,0.0,100.0,0.0,100.0,0.0,22.22,0.0,0.0,44.44,0.0,0.0,33.33,18
Advanced,CSCI1330 S01,36.84,63.16,0.0,100.0,10.53,89.47,0.0,5.26,10.53,0.0,78.95,5.26,0.0,0.0,19
Advanced,CSCI1460 S01,29.01,70.99,13.74,86.26,9.92,90.08,0.0,29.01,2.29,7.63,32.82,1.53,1.53,25.19,131
Grad,CSCI2590 S01,41.67,58.33,8.33,91.67,8.33,91.67,0.0,0.0,8.33,0.0,58.33,8.33,0.0,25.0,12
Grad,CSCI2810 S01,46.15,53.85,0.0,100.0,23.08,76.92,0.0,7.69,7.69,15.38,23.08,0.0,7.69,38.46,13
Grad,CSCI2952G S01,26.39,73.61,11.11,88.89,6.94,93.06,0.0,37.5,2.78,4.17,27.78,4.17,4.17,19.44,72
Grad,CSCI2230 S01,20.0,80.0,10.0,90.0,5.0,95.0,0.0,10.0,5.0,0.0,60.0,5.0,5.0,15.0,20
Grad,CSCI2230 S02,33.33,66.67,0.0,100.0,33.33,66.67,0.0,33.33,0.0,33.33,0.0,0.0,33.33,0.0,3
Grad,CSCI2390 S01,29.69,70.31,1.56,98.44,3.12,96.88,0.0,20.31,0.0,3.12,53.12,1.56,3.12,18.75,64
Grad,CSCI2952Q S01,2.7,97.3,2.7,97.3,0.0,100.0,0.0,29.73,0.0,0.0,35.14,2.7,2.7,29.73,37
